"","academicyear","instname","control","hbcu","hsi","medical","nettuition01","tuition_reliance_a1","appliedaid01","grant01","tuition_discount","fed_grant_pct","fed_grant_avg_amount","inst_grant_avg_amount","loan_num","loan_avg_amount","tuition01_tf","fee01_tf","education_share","instruction_share","studserv_share","eandr_degree","average_subsidy","nettuition_share","gross_operating_margin","fringe_benefit_play","instr_sal_as_pct_instrtot","acadsupp_sal_as_pct_acadsupptot","assets06","totaldegrees_100fte","bach_deg_share_of_tot_deg","ftretention_rate","fall_cohort_num","fall_cohort_pct","total_enrollment_amin_tot","total_enrollment_asian_tot","total_enrollment_black_tot","total_enrollment_hisp_tot","total_enrollment_white_tot","total_enrollment_multi_tot","applcn","enrollftcount","enrollptcount","NumStudSubACT","NumStudSubSAT","instacttype","ft_executive_per_100fte","full_time_employee_share","ft_faculty_salary","full_time_employee_100fte","AK","AL","AR","AZ","CA","CO","CT","DC","DE","FL","GA","HI","IA","ID","IL","IN","KS","KY","LA","MA","MD","MI","MN","MO","MS","MT","NC","ND","NE","NH","NJ","NV","NY","OH","OK","OR","PA","PR","RI","SC","SD","TN","TX","UT","VA","VI","VT","WA","WI","WV","WY"
"1067",2012,"Eckerd College",1,0,0,0,49487858,0.887891244,25416058,2491442,0.337669145,21,4928,17303,309,8796,34250,296,0.989202074,0.471059556,0.206515947,102626.0931,5109223.517,0.906419476,1336768,1.345839017,0.533666165,0.49342621,179469145,24.37013284,1,0.81,503,21,13,37,159,175,1790,60,3713,500,2,1,1,2,2.565277142,0.735655738,67163.8087,16.44525882,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1068",2012,"Clearwater Christian College",1,0,0,0,5846877,0.872605303,2320659,1079955,0.284132081,50,4729,5043,77,6411,15440,65,0.993434285,0.3461493,0.162388228,80225.5308,1212969.71,0.828187529,-966288,1.342626801,0.686869542,0.470100509,14647646,17.39130435,0.954545455,0.67,121,25,6,4,28,16,422,0,329,133,1,1,1,2,4.150197628,0.813084112,44467.03226,17.19367589,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1069",2012,"University of Central Florida",0,0,0,0,297737103,0.41566201,95250373,79635453,0.116155537,31,4345,2449,2504,5582,3848,1736,0.728038765,0.590119621,0.100167609,30177.62017,139476258,0.680988116,-4522988,1.210107137,0.680236805,0.525956797,1450418980,30.27795193,0.79472667,0.87,6184,12,191,3241,5753,10302,35517,873,33968,6144,157,1,1,2,1.178683386,0.656112577,75288.88601,9.354231975,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1070",2009,"Florida Christian College Inc",1,0,0,0,1860096,0.696934023,159158,282169,0.086959211,38,3608,1814,39,7441,9100,610,0.989586819,0.315170461,0.1386553,87776.49638,1124304.877,0.623272837,-995623,1.30325472,0.69492821,0.574543106,6849935,17.50965682,0.852941176,0.63,52,23,0,1,24,27,166,0,154,51,3,0,0,2,2.574949532,0.64,43559.3,16.47967701,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1071",2012,"Florida Christian College",1,0,0,0,3507183,0.729375473,198574,969149,0.069867425,57,4065,1790,70,5721,9552,1020,0.944369925,0.263707125,0.251923288,74278.29897,949514.938,0.786946535,-205881,1.264568691,0.721661449,0.622610489,6298577,18.75,0.766666667,0.62,83,22,0,0,64,62,241,0,666,83,3,1,1,2,1.5625,0.578313253,46924.25,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1072",2012,"Bethune-Cookman University",1,1,0,0,37233763,0.733212899,13353315,13267188,0.239144338,81,4911,6103,849,6637,13990,0,1,0.411063664,0.130056478,84453.55124,10566947,0.778937447,2691912,1.177001155,0.712158016,0.545829981,147079381,16.41055378,0.969964664,0.69,886,25,4,38,3271,63,53,45,4707,886,10,1,1,2,0.782835605,0.894273128,50062.41206,17.65729197,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1073",2012,"The Baptist College of Florida",1,0,0,0,3668000,0.729533725,445498,1349082,0.108301499,65,4280,1667,27,4297,8700,400,1,0.409182078,0.116910634,49510.26786,1877150,0.66147895,1640374,1.301458777,0.718469918,0.466738546,26501293,22.17821782,0.919642857,0.82,60,10,3,0,41,17,504,17,144,55,2,1,1,2,1.98019802,0.316939891,46106.66667,11.48514851,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1074",2012,"Trinity Washington University",1,0,0,0,29424515,0.913353214,8218245,5072299,0.221104279,75,4958,9157,240,6795,20150,825,0.986313188,0.341763459,0.151391778,52829.85965,-4647310.826,1.187563972,6512360,1.174908237,0.849058975,0.760715154,72960840,26.34831461,0.524520256,0.66,265,16,5,34,1754,264,155,32,1346,266,17,0,0,2,1.741573034,0.460240964,59211.90909,10.73033708,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1075",2012,"Howard University",1,1,0,1,148617000,0.335824993,87019000,13827000,0.364686419,46,4484,14549,1013,7205,19150,1082,0.822448079,0.514541743,0.070968613,168073.7967,227027935.6,0.395631582,-148918000,1.327579714,0.628905502,0.468429266,1438246000,22.4239992,0.591051454,0.83,1462,21,4,156,9711,96,102,0,8794,1467,27,1,1,2,4.173773452,0.799145299,78845.49765,30.01906291,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1076",2012,"Georgetown University",1,0,0,1,467851000,0.548533729,106994000,4295000,0.229562918,16,6425,30244,436,6437,40920,473,0.715556901,0.536531975,0.120154377,122433.9035,223043517.2,0.677167047,-88871000,1.257554633,0.502297086,0.465897487,2452665000,36.88235294,0.331561226,0.96,1596,21,18,1435,1081,1051,9708,439,18077,1570,3,1,1,2,5.235294118,0.72752378,114564.8571,30.99346405,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
